ball_possession_home,blocked_shots_home,corner_kicks_home,fouls_home,goalkeeper_saves_home,offsides_home,passes_%_home,passes_accurate_home,red_cards_home,shots_insidebox_home,shots_off_goal_home,shots_on_goal_home,shots_outsidebox_home,total_shots_home,total_passes_home,yellow_cards_home,ball_possession_away,blocked_shots_away,corner_kicks_away,fouls_away,goalkeeper_saves_away,offsides_away,passes_%_away,passes_accurate_away,red_cards_away,shots_insidebox_away,shots_off_goal_away,shots_on_goal_away,shots_outsidebox_away,total_shots_away,total_passes_away,yellow_cards_away,fixture_id
0.51,0.0,2.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,19.0,0.0,0.0,0.49,0.0,3.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,6.0,0.0,4.0,9486
0.5,1.0,1.0,13.0,2.0,2.0,0.66,249.0,0.0,6.0,6.0,6.0,7.0,13.0,375.0,2.0,0.5,8.0,8.0,15.0,5.0,1.0,0.64,226.0,0.0,10.0,7.0,5.0,10.0,20.0,353.0,1.0,11495
0.58,3.0,4.0,13.0,5.0,4.0,0.84,449.0,0.0,7.0,6.0,4.0,6.0,13.0,537.0,1.0,0.42,2.0,2.0,19.0,3.0,1.0,0.77,298.0,0.0,4.0,5.0,6.0,9.0,13.0,386.0,3.0,11494
0.42,0.0,2.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,9.0,0.0,1.0,0.58,0.0,8.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,15.0,0.0,2.0,9485
0.41,4.0,3.0,16.0,3.0,0.0,0.73,252.0,0.0,10.0,4.0,7.0,5.0,15.0,343.0,0.0,0.59,2.0,9.0,7.0,2.0,0.0,0.78,367.0,0.0,9.0,13.0,3.0,9.0,18.0,472.0,0.0,12403
0.49,4.0,7.0,16.0,3.0,2.0,0.72,254.0,0.0,6.0,3.0,5.0,6.0,12.0,355.0,1.0,0.51,4.0,2.0,10.0,3.0,2.0,0.67,254.0,0.0,5.0,1.0,3.0,3.0,8.0,377.0,2.0,10646
0.59,4.0,7.0,16.0,2.0,2.0,0.76,348.0,0.0,8.0,2.0,4.0,3.0,10.0,457.0,3.0,0.41,2.0,2.0,13.0,3.0,1.0,0.66,209.0,0.0,5.0,8.0,3.0,8.0,13.0,318.0,2.0,11493
0.52,1.0,2.0,11.0,5.0,4.0,0.74,313.0,0.0,6.0,8.0,3.0,6.0,12.0,425.0,1.0,0.48,3.0,2.0,12.0,3.0,3.0,0.71,274.0,0.0,10.0,2.0,9.0,4.0,14.0,388.0,3.0,11491
0.6,8.0,15.0,15.0,2.0,3.0,0.81,330.0,0.0,20.0,17.0,5.0,10.0,30.0,407.0,2.0,0.4,0.0,2.0,22.0,2.0,6.0,0.73,207.0,0.0,4.0,1.0,4.0,1.0,5.0,285.0,3.0,11492
0.5,0.0,4.0,15.0,5.0,3.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,11.0,0.0,3.0,0.5,0.0,5.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,10.0,0.0,2.0,9482
